"","site","site_label","ocean","coast","latitude","longitude","x_offset","y_offset","calcite","chlomax","chlomean","chlomin","chlorange","cloudmax","cloudmean","cloudmin","damax","damean","damin","dissox","nitrate","parmax","parmean","ph","phos","phosphate","salinity","silicate","sstmax","sstmean","sstmin","sstrange","precip"
"13","IR.A","IR","Atlantic","East Atlantic",54.531944,-5.569167,-1,0.25,0.00602616656882067,3.52166668574015,2.58816667397817,1.94999996821086,1.57166664799054,0.818833331267039,0.761166661977768,0.695999999841054,0.218999996781349,0.197333330909411,0.174500000973543,6.5508333047231,5.99666659037272,40.789332707723,28.6868333816528,8.2061669031779,0.57328333457311,0.57328333457311,34.113166809082,4.10266669591268,15.8126667340597,10.679666519165,6.42066661516825,9.39199995994568,86.2324561403509
"14","IR.B","","Atlantic","East Atlantic",55.2225,-7.701944,-1,0,0.00101966666989028,4.10066668192546,1.89649999141693,0.925999999046326,3.1746666431427,0.863499999046326,0.809999992450078,0.733833342790604,0.200166667501132,0.159000001847744,0.117333333939314,6.18449997901917,4.26633334159851,40.0248330434163,28.1684999465942,8.18650023142497,0.382250006000201,0.382250006000201,35.0233332316081,2.77616663773855,15.7043334643046,10.9169999758403,6.75266663233439,8.95166659355164,95.9621212121212
"15","JN.A","JN","Pacific","West Pacific",43.021167,144.903217,1,0,0.00635059995111078,7.28959989547729,4.25899991989136,2.43079998493195,4.85880002975464,0.777800011634827,0.666999995708466,0.499799996614456,0.295999997854233,0.233199998736382,0.166399998962879,7.26719989776611,6.61599998474121,42.0911994934082,27.6693996429443,8.15220031738281,0.705379998683929,0.705379998683929,32.5870002746582,12.6,19.6070003509521,8.26820001602173,0.202600000798702,19.4043998718262,91.546875
"16","JN.B","","Pacific","West Pacific",43.052222,144.842699,1,0,0.00935366656631231,8.10566647847494,5.18633325894674,3.49266664187113,4.61300007502238,0.781333347161611,0.674999992052714,0.505666653315226,0.315333326657613,0.258999998370806,0.204666664203008,7.27633317311605,6.58666658401489,41.8873329162598,27.3436660766602,8.15233357747396,0.703433334827423,0.703433334827423,32.5710004170736,12.5893332163493,21.2093334197998,8.51166661580404,0.374666670958201,20.8346665700277,91.5648148148148
"17","JS.A","JS","Pacific","West Pacific",34.297834,132.91631,0.75,-0.5,0.00227900000754744,2.08350002765656,1.76600003242493,1.49099999666214,0.592499971389771,0.777500003576279,0.665499985218048,0.562000006437302,0.17399999499321,0.163499996066093,0.153999999165535,5.78600001335144,4.375,48.2360000610352,34.3955001831055,8.23600006103516,0.238399997353554,0.238399997353554,32.6564998626709,9.2504997253418,27.0005006790161,19.0270004272461,11.7449998855591,15.2554998397827,110.578431372549
"18","JS.B","","Pacific","West Pacific",34.274018,132.26617,1,0,0.000679750010021962,15.5759999752045,6.61699998378754,1.97525000572205,13.6007499694824,0.785999998450279,0.683750003576279,0.53575000166893,0.41950000077486,0.281499996781349,0.166000001132488,5.53299999237061,1.35225000977516,46.6539993286133,34.2214994430542,8.28774976730347,0.217975001782179,0.217975001782179,33.9305000305176,8.54250001907349,29.6965003013611,19.5077495574951,10.9667499065399,18.7297501564026,145.563725490196
"19","KO.A","KO","Pacific","West Pacific",34.89466111,128.0202722,0,-0.75,0.00957479989156127,15.1143996238708,6.73720006942749,3.89219989776611,11.222200012207,0.74760000705719,0.551199996471405,0.438199996948242,0.378600007295608,0.290799993276596,0.25,5.86120004653931,1.44619998931885,46.4910003662109,34.3526000976562,8.05120010375976,0.343919992446899,0.343919992446899,32.7741989135742,12.2878000259399,27.5072002410889,17.6694000244141,8.55839996337891,18.94880027771,131.265625
"20","KO.B","","Pacific","West Pacific",34.80097222,128.5836944,1,0,0.00478900002781302,12.8034999966621,5.04275000095367,1.83675000071526,10.9667502045631,0.706999987363815,0.525749996304512,0.403249993920326,0.336749996989965,0.231250002980232,0.155999999493361,5.70900011062622,1.29749995470047,47.4682502746582,34.4569997787476,8.10799980163574,0.309650003910065,0.309650003910065,32.9057502746582,12.0454998016357,27.8505001068115,18.1360001564026,10.7395002841949,17.1110000610352,139.699074074074
"21","LI.A","LI","Atlantic","West Atlantic",40.85762,-72.45119,1,-0.25,0.0025701999431476,6.19820008277893,5.14820008277893,4.33460001945496,1.86360003948212,0.648600006103516,0.540800011157989,0.416799992322922,0.280799999833107,0.250200000405312,0.223199999332428,6.18479995727539,1.85399997234344,50.1830001831055,32.6493995666504,8.03579998016357,0.595499992370605,0.595499992370605,30.8506000518799,2.39539999961853,22.150199508667,12.7345998764038,3.34119997024536,18.8090000152588,95.3472222222222
"22","LI.B","","Atlantic","West Atlantic",40.83158,-72.54082,1,0,0.00361266666247199,8.48833338419596,6.32699998219808,4.9868333141009,3.50150001049042,0.643166681130727,0.542333344618479,0.423333331942558,0.320666665832202,0.275333332518737,0.242833331227303,6.20783336957296,1.8606666525205,50.0926659901937,32.7913335164388,8.02699995040894,0.600899984439214,0.600899984439214,30.7119998931885,2.38283332188924,22.8206666310628,12.6744999885559,2.99633334080378,19.824333190918,94.8571428571429
"23","MA.A","MA","Atlantic","West Atlantic",42.42014,-70.91544,1,0,0.00608749984530732,11.1339999437332,6.37975001335144,2.4622500538826,8.67175024747849,0.727749988436699,0.628250002861023,0.500499993562698,0.350249998271465,0.282500006258488,0.190000001341105,6.81524991989136,3.71350002288818,48.9122495651245,31.2682495117188,8.04400014877319,0.728375017642975,0.728375017642975,31.1964998245239,4.61675000190735,18.973249912262,10.3159999847412,2.22499999403954,16.7482500076294,94.7916666666667
"24","MA.B","","Atlantic","West Atlantic",42.59697,-70.6556,1,0,0.00133179997792467,10.6346000671387,3.91259994506836,1.66219997406006,8.97239990234375,0.677799987792969,0.576600003242493,0.436599999666214,0.332599997520447,0.227399995923042,0.158399999141693,6.80840005874634,3.74760003089905,50.3248008728027,32.0245994567871,8.0753999710083,0.700560009479523,0.700560009479523,31.3529998779297,4.63959999084473,18.9630001068115,10.3270000457764,2.5407999753952,16.4222003936768,98.3416666666667
"25","MX.A","MX","Pacific","East Pacific",30.419675,-115.9641889,-1,-0.25,0.00105599997914396,4.96625009179115,2.2522499859333,1.18725001811981,3.77899996936321,0.601500011980534,0.462250009179115,0.327250003814697,0.226249996572733,0.167500000447035,0.123749999329448,5.79074990749359,0.170249994844198,56.4297494888306,42.5207500457764,8.23300004005432,0.389024995267391,0.389024995267391,33.5694999694824,2.65425002574921,20.664749622345,17.0607500076294,14.5179996490479,6.14674997329712,13.5128205128205
"26","MX.B","","Pacific","East Pacific",31.7584722,-116.6227778,-1,0,0.000745000007251898,12.4323333104452,5.22900001207987,2.08733332157135,10.3450002670288,0.539666672547658,0.408666660388311,0.288333331545194,0.355333338181178,0.243000005682309,0.170333335796992,5.83366664250692,0.0553333337108294,55.8390007019043,41.984001159668,8.22466691335042,0.368333339691162,0.368333339691162,33.5203336079915,2.52599994341532,21.6060002644857,17.8143329620361,15.0300000508626,6.57600005467733,26.0654761904762
"27","NC.A","NC","Atlantic","West Atlantic",34.692458,-76.622589,0,-0.75,0.013536250218749,6.01875001192093,4.13650006055832,2.65749999880791,3.3612499833107,0.581249997019768,0.486749991774559,0.407749995589256,0.280500002205372,0.232749998569489,0.17400000244379,5.12800002098083,0.308749996125698,53.3060007095337,35.6882495880127,8.28649997711182,0.115624999627471,0.115624999627471,34.8905000686646,0.934750005602837,28.5787501335144,21.2454996109009,13.6494998931885,14.9292502403259,117.461538461538
"28","NC.B","","Atlantic","West Atlantic",34.670544,-76.574561,1,0,0.0147705002455041,6.02350002527237,4.12800008058548,2.65274998545647,3.37074995040894,0.578999996185303,0.484249994158745,0.406749993562698,0.281000003218651,0.233249995857477,0.173750001937151,5.11250007152557,0.30799999833107,53.4292507171631,35.6499996185303,8.28550004959106,0.114250000566244,0.114250000566244,34.9490003585815,0.93350000679493,28.6392502784729,21.3619999885559,13.582249879837,15.0570001602173,118.059523809524
"29","NN.A","NN","Atlantic","East Atlantic",67.2147,15.0083,-1,0,0.000364999998257392,3.50777777036031,1.69433332814111,1.03988889190886,2.46788887182871,0.822333329253726,0.763888895511627,0.694888883166843,0.196888885564274,0.158111110329628,0.13955555525091,6.94499990675184,4.36199998855591,40.1307767232259,29.1088888380263,8.21199989318848,0.546800010734134,0.546800010734134,32.1727778116862,7.40233331256443,14.1371110280355,7.12155559327867,2.31744445694817,11.8196666505602,90.6136363636364
"30","NN.B","","Atlantic","East Atlantic",67.26672333,15.25606333,-1,0,0.000311000000995894,1.77977777851952,1.21322221226162,0.918666667408413,0.861111104488373,0.8168888952997,0.766777773698171,0.695777787102593,0.159777777062522,0.142777777380413,0.134222222699059,7.29811106787788,4.48466661241319,38.9475555419922,28.4351111518012,8.20333332485623,0.514066672987408,0.514066672987408,32.1182221306695,5.00977773136563,14.044222301907,6.52599996990628,1.67399998174773,12.3702221976386,88.7434210526316
"31","OR.A","OR","Pacific","East Pacific",44.61273333,-124.0141333,-1,-0.25,0.00127600001481672,11.2326669692993,5.26333332061768,1.32533331712087,9.90733369191488,0.779666662216187,0.668666660785675,0.522666682799657,0.296000003814697,0.214999998609225,0.140000000596046,6.45699993769328,3.95133336385091,54.8540000915527,31.3266671498617,8.19133345286051,0.661233325799306,0.661233325799306,32.6486663818359,16.664000193278,14.2733332316081,11.3846667607625,8.59966691335042,5.67366663614909,168.041666666667
"32","OR.B","","Pacific","East Pacific",43.34625,-124.3182833,-1,0,0.0016239999483029,9.5843334197998,3.76700003941854,1.36633336544037,8.21800009409587,0.745333333810171,0.646333336830139,0.513333340485891,0.272000004847844,0.194000000754992,0.140333334604899,6.44500001271566,3.79900002479553,54.9220008850098,32.3946660359701,8.19966665903727,0.646400014559428,0.646400014559428,32.4976666768392,12.9733333587646,14.3379999796549,11.2249997456868,9.31199995676676,5.02600002288818,135.766666666667
"33","PO.A","PO","Atlantic","East Atlantic",36.997057,-7.82849,-1,0,0.00120149999565911,2.29825001955032,1.13750001788139,0.577249981462955,1.72100001573563,0.537249997258186,0.439500004053116,0.212750002741814,0.144750002771616,0.11375000141561,0.0842499993741512,5.42399990558624,2.18474996089935,59.7462491989136,39.5385007858276,8.10374999046326,0.149399999529123,0.149399999529123,36.1397495269775,1.35300001502037,22.3219995498657,18.3232498168945,14.3762497901917,7.94574999809265,41.8194444444444
"34","PO.B","","Atlantic","East Atlantic",37.027333,-7.810105,-1,0,0.00119720000075176,2.51680002212524,1.21920001506805,0.658599990606308,1.85820002555847,0.537599992752075,0.440000003576279,0.214200001955032,0.151400002837181,0.118400000035763,0.0898000001907349,5.42279996871948,2.18939995765686,60.0027992248535,39.4154006958008,8.1,0.149779999256134,0.149779999256134,36.1297996520996,1.35380001068115,22.2581996917725,18.3447998046875,14.4813999176025,7.77679996490478,42.3
"35","QU.A","QU","Atlantic","West Atlantic",49.11237,-68.17593,1,0,0.00293983330872531,36.3805001576742,14.9315002759298,2.06833334763845,34.312167485555,0.796499997377396,0.692499995231628,0.621166676282883,0.587333326538404,0.363333334525426,0.174499998490016,7.55399998029073,5.02549997965495,47.7593326568604,35.2191664377848,7.70516657829285,0.89736666282018,0.89736666282018,26.9105002085368,13.3718333244324,14.1873332659403,5.35149995485942,-0.925166656573614,15.1124998728434,79.8240740740741
"36","QU.B","","Atlantic","West Atlantic",49.08696,-68.32041,1,0,0.00327500000130385,39.8818004608154,16.5746002197266,2.19420001506805,37.6876007080078,0.793999993801117,0.67940000295639,0.603200006484985,0.619199991226196,0.37940000295639,0.175599998235703,7.56800003051758,5.103600025177,47.8783996582031,35.2966003417969,7.70640001296997,0.90291999578476,0.90291999578476,26.8720001220703,13.6593999862671,14.0512001037598,5.31999998092651,-0.807399988174438,14.8585998535156,78.8888888888889
"37","RU.A","RU","Atlantic","East Atlantic",66.40611111,33.72305556,0,0.75,0.000350599996454548,12.2104001581669,4.42319994568825,0.433599998056889,11.7767998695374,0.937899994850159,0.812699991464615,0.717099994421005,0.312399996817112,0.203399999439716,0.119700000435114,7.06070003509521,0.611799997091293,41.7622001647949,30.6708999633789,8.17230005264282,0.0949099995195866,0.0949099995195866,24.9951999664307,5.18510007858276,12.6166001319885,4.06689994335175,-1.0558000087738,13.6723999977112,42.2638888888889
"38","RU.B","","Atlantic","East Atlantic",66.28583333,34.0025,-1,0,0.000544124999578344,8.73587495088577,2.8044999986887,0.723500007763505,8.01237504184246,0.931500002741814,0.79899999499321,0.698000006377697,0.297750003635883,0.189500002190471,0.117249999195337,7.02262502908707,0.641250006854534,43.2488746643066,31.34375,8.15737473964691,0.0886125005781651,0.0886125005781651,24.9015002250671,5.33912491798401,12.6818751096725,4.08300003409386,-1.22712500393391,13.9090000391006,40.0059523809524
"39","SD.A","SD","Pacific","East Pacific",32.713756,-117.225474,-1,0,0.000875666659946243,4.92633334795634,2.90266668796539,2.02833336591721,2.89800008138021,0.554333329200745,0.463333338499069,0.371000001827876,0.239333336551984,0.19366666674614,0.16499999910593,5.7706667582194,0.0970000028610229,55.2296663920085,40.9909998575846,8.21966648101807,0.357133328914642,0.357133328914642,33.4926668802897,2.55166665712992,21.4076671600342,17.2099997202555,14.5389998753866,6.86866680781047,21.8257575757576
"40","SD.B","","Pacific","East Pacific",32.700762,-117.172885,-1,0,0.00115799998942142,9.2976663907369,4.1340000629425,2.21000003814697,7.08766682942708,0.531666656335195,0.444000005722046,0.331333329280217,0.289666667580605,0.222999999920527,0.180666665236155,5.78766679763794,0.0913333346446355,56.3536669413249,41.6029993693034,8.22133318583171,0.357866664727529,0.357866664727529,33.4956665039062,2.58166662851969,21.0923341115316,17.0153331756592,14.4436667760213,6.6486668586731,21.5333333333333
"41","SF.A","SF","Pacific","East Pacific",37.946557,-122.418499,-1,-0.25,0.0209689997136593,9.80299997329712,6.85600006580353,5.46674990653992,4.33624991774559,0.620250016450882,0.449500001966953,0.268499996513128,0.35249999910593,0.310250006616116,0.282999999821186,6.3659999370575,3.30099999904633,60.2585000991821,38.6667499542236,8.20849990844727,0.748175010085106,0.748175010085106,33.2259998321533,6.92199993133545,17.8474998474121,14.4612500667572,11.1000001430511,6.74750006198883,64.6029411764706
"42","SF.B","","Pacific","East Pacific",37.978118,-122.405941,-1,0,0.0281077497638762,11.7277499437332,8.53775000572205,6.16774988174438,5.55999994277954,0.626250013709068,0.447750002145767,0.246499996632338,0.375749997794628,0.335250005125999,0.296250000596046,6.36274993419647,3.30174994468689,60.0417490005493,38.2550001144409,8.20825004577637,0.749625012278557,0.749625012278557,33.2397499084473,6.96949994564056,18.3869996070862,14.6177501678467,10.8480002880096,7.53900003433228,61.7261904761905
"43","SW.A","SW","Atlantic","East Atlantic",58.3131,11.5488,0,-0.75,0.00162099998643888,12.3939999171666,6.76200001580375,2.52542860167367,9.86857114519392,0.831142859799521,0.715000007833753,0.629285718713488,0.349571432386126,0.274142852851323,0.18942857001509,7.22799989155361,1.59242856502533,46.6141428266253,32.7120001656669,8.31185722351074,0.216871429766927,0.216871429766927,28.1632856641497,2.52828570774623,20.4094287327358,9.42657143729074,0.632142841815948,19.7772862570626,61.0297619047619
"44","SW.B","","Atlantic","East Atlantic",58.2488,11.4536,-1,0,0.00159399998180258,14.6788331667582,7.32616678873698,2.3438333272934,12.3349998792013,0.835500001907349,0.716333339611689,0.635000000397364,0.375166664520899,0.282333334287008,0.184999999900659,7.22733330726624,1.60733332236608,46.8508332570394,32.7971668243408,8.31183338165283,0.218333333730698,0.218333333730698,28.0893332163493,2.56883331139882,20.3819999694824,10.0375000635783,1.34700000286102,19.0350001653035,59.8095238095238
"45","UK.A","UK","Atlantic","East Atlantic",52.942282,-4.565173,-0.75,-0.5,0.00993780009448528,4.87580003738403,3.31239995956421,2.37560002803802,2.50019998550415,0.785800004005432,0.735199975967407,0.653199994564056,0.257000005245209,0.218199995160103,0.188400003314018,6.33199996948242,8.95220031738281,46.2990005493164,30.4476001739502,8.20780029296875,0.628439998626709,0.628439998626709,34.281999206543,4.81940002441406,16.3833999633789,11.682799911499,7.63819999694824,8.74520015716553,79.0238095238095
"46","UK.B","","Atlantic","East Atlantic",52.89856,-4.321868,-1,0,0.00838349992409348,8.33249998092651,6.24825012683868,4.64400011301041,3.68850004673004,0.800000011920929,0.747749999165535,0.684500008821487,0.317499995231628,0.276250001043081,0.240000002086163,6.3199999332428,8.99100017547607,44.1760005950928,29.6377501487732,8.21100044250488,0.639925017952919,0.639925017952919,34.2657489776611,5.23974990844727,18.0490002632141,12.1072499752045,6.50450003147125,11.5445001125336,83.0952380952381
"47","VA.A","VA","Atlantic","West Atlantic",37.2204206,-76.4013352,1,0,0.00875459983944893,24.2646003723145,16.0224002838135,10.9392001152039,13.3253999710083,0.583800005912781,0.505800008773804,0.441000002622604,0.508800005912781,0.435399997234344,0.365799993276596,5.5452000617981,1.08340001106262,50.7846000671387,34.1149993896484,8.30500011444092,0.35067999958992,0.35067999958992,16.6496000289917,1.55439999103546,27.7507999420166,16.0378002166748,4.92480001449585,22.8259998321533,93.0059523809524
"48","VA.B","","Atlantic","West Atlantic",37.2543093,-76.4374474,1,0,0.00907549983821809,25.3450002670288,16.6880004405975,11.8500001430511,13.4949998855591,0.582750007510185,0.506500005722046,0.444000005722046,0.51800000667572,0.444749996066093,0.379499994218349,5.5220000743866,1.09200000762939,50.910249710083,34.2049989700317,8.30600023269653,0.354249998927116,0.354249998927116,16.2012498378754,1.56199997663498,27.8412499427795,16.0205001831055,4.97049999237061,22.8707499504089,92.8333333333333
"49","WA.A","WA","Pacific","East Pacific",46.474,-124.028,-1,0,0.00598359992727637,18.9111999511719,12.3480000495911,6.9728000164032,11.938399887085,0.811999988555908,0.717000007629395,0.571599984169006,0.453600001335144,0.382400006055832,0.313199996948242,6.57899990081787,3.84060001373291,49.1416000366211,30.6956001281738,8.17539978027344,0.730420005321503,0.730420005321503,15.0825998306274,22.6841999053955,16.5492002487183,12.1725999832153,8.06979990005493,8.4793999671936,179.178571428571
"50","WA.B","","Pacific","East Pacific",47.809,-122.815,-1,0,0.00104866669668506,16.9086662928263,8.28833325703939,2.1396666765213,14.7689997355143,0.800999999046326,0.689000010490417,0.52566667397817,0.366999993721644,0.270999997854233,0.177999998132388,5.83433326085408,10.2349999745687,51.9133326212565,31.9786656697591,7.84233331680298,2.1724332968394,2.1724332968394,29.4699999491374,34.4196662902832,15.1366669336955,10.1766665776571,3.3740000637869,11.7626663843791,93.0753968253968
