Site,Seagrass.pct.cover.site,Macroalgae.pct.cover.site,Zostera.AG.mass.site,Zostera.BG.mass.site,Zostera.shoots.core.site,Zostera.sheath.width.site,Zostera.sheath.length.site,Zostera.longest.leaf.length.site,epibiota.filter.site,epibiota.zostera.marina.site,periphyton.mass.per.g.zostera.site,mesograzer.abund.per.g.plant.site,crustacean.abund.per.g.plant.site,gastropod.abund.per.g.plant.site,mesograzer.mass.per.g.plant.site,crustacean.mass.per.g.plant.site,gastropod.mass.per.g.plant.site,mesograzer.mass.per.area.site,crustacean.mass.per.area.site,gastropod.mass.per.area.site,periphyton.mass.per.area.site,log10.grazer.richness.site,crust.pct.mass.site,gast.pct.mass.site,Leaf.PercN.site,log10.Macroalgae.pct.cover.site,log10.Zostera.AG.mass.site,log10.Zostera.BG.mass.site,log10.Zostera.shoots.core.site,log10.Zostera.sheath.width.site,log10.Zostera.sheath.length.site,log10.Zostera.longest.leaf.length.cm.site,log10.periphyton.mass.per.g.zostera.site,log10.mesograzer.abund.per.g.plant.site,log10.crustacean.abund.per.g.plant.site,log10.gastropod.abund.per.g.plant.site,log10.mesograzer.mass.per.g.plant.site,log10.crustacean.mass.per.g.plant.site,log10.gastropod.mass.per.g.plant.site,log10.mesograzer.abund.per.area.site,log10.mesograzer.mass.per.area.site,log10.crustacean.mass.per.area.site,log10.gastropod.mass.per.area.site,log10.periphyton.mass.per.area.site,log10.Leaf.PercN.site,log10.predation.gastropods.site,predation.amphipods,predation.squidpops,predation.gastropods,grazer.richness.site,Ocean,Coast,Latitude,Longitude,Temperature.C,Salinity.ppt,log10.mean.fetch,day.length,log10.day.length,sst.min,sst.mean,sst.max,sst.range,salinity,parmean,cloudmean,precipitation,nitrate,sqrt.nitrate,ph,phosphate,log10.phosphate,chlomean,log10.chlomean,pop.density.2015,FC1,FC2,Site.1,PC1.env.global,PC2.env.global,PC3.env.global,PC1.zos.site,PC2.zos.site,zLatitude,zPC1.zos.site,zPC2.zos.site,zPC1.env.global,zPC2.env.global,zPC3.env.global,zFC1,zFC2,zcanopy,zshoots,zagbiomass,zbgbiomass,zperiphyton,zperiphyton.perg,zmesograzer.mass,zmesograzer.mass.perg,zmesograzer.abund,zmesograzer.abund.perg,rLatitude,rPC1.zos.site,rPC2.zos.site,rPC1.env.global,rPC2.env.global,rPC3.env.global,rFC1,rFC2,rcanopy,rshoots,ragbiomass,rbgbiomass,rperiphyton,rperiphyton.perg,rmesograzer.mass,rmesograzer.mass.perg,rmesograzer.abund,rmesograzer.abund.perg
WA.B,81.5,2.175,102,266.45,1047.237077,0.4575,5.85325,27.2295,0.09953,0.27469,0.435551072,34.63287918,31.50474077,3.128138406,18.57467954,12.26635964,6.308319897,1901.052939,1246.822965,654.2299736,43.15154949,1.301029996,0.713725914,0.286274086,2.219396532,0.238031398,1.997674066,2.401990594,3.008345053,-0.341706411,0.76482318,1.43231819,-0.403934981,1.463884002,1.420039172,0.048568963,1.009459443,0.805421512,0.067798423,3.457027512,3.002721237,2.79871558,2.076836561,1.58923698,0.344473985,-1,NA,1,0.1,19,Pacific,East Pacific,47.809,-122.815,16,20,0.430961453,15.93,1.202215776,3.374000064,10.17666658,15.13666693,11.76266638,29.46999995,31.97866567,0.68900001,93.07539683,10.23499997,3.19921865,7.842333317,2.172433297,0.336946451,8.288333257,0.918467205,5,-770,-581,WA.B,-1.839126311,1.287177877,-0.068466571,1.404432944,-0.755088063,0.303583106,0.780468792,-0.671486336,-1.091538462,0.903947474,-0.059266648,-1.165581792,-1.012740221,-0.914585551,1.339634548,-0.100212623,0.676286984,0.909417041,1.103148458,0.249410585,0.324166812,0.762882605,0.835011537,0.471932646,0.676238468,0.304090898,0.123431333,0.779878909,0.504969029,0.152207792,0.097076868,0.302492274,0.861764082,0.603966998,0.723295342,0.731630551,0.86496862,0.640253517,0.683130388,0.823830675,0.831908752
SD.B,100,2.5,242.525,1122.425,1059.969442,0.295,5.327,32.392,0.061675,0.431525,0.145624436,21.83977058,21.24994347,0.589827119,8.526203845,7.166691366,1.35951248,2175.475729,1842.983346,332.492383,35.74216613,1.431363764,0.831902356,0.168097644,1.878844338,-0.165081336,2.374214154,3.016860513,3.014039201,-0.532872268,0.718779507,1.504241711,-0.843956631,1.29575351,1.282860284,-0.297503049,0.875093284,0.79281377,0.009251167,3.667947004,3.247068442,3.164711642,2.377688912,1.526624248,0.271312943,NA,0.95,0.9,NA,26,Pacific,East Pacific,32.700762,-117.172885,21.11,35,-0.058612811,14.2173,1.152817128,14.44366678,17.01533318,21.09233411,6.648666859,33.4956665,41.60299937,0.444000006,21.53333333,0.091333335,0.302214055,8.221333186,0.357866665,-0.446278754,4.134000063,0.616370479,250,-833,1921,SD.B,2.641706016,1.158332563,0.255774418,1.641323082,-2.371406787,-1.18342364,0.912112927,-2.108849726,1.567876935,0.813463169,0.221405749,-1.256383885,3.238301675,-0.650693704,1.353972414,1.022544661,2.213028161,0.826321288,0.426158505,0.541324717,0.152017605,1.007666591,0.634711817,0.061906913,0.707544724,0.02514264,0.874707869,0.758468919,0.565150891,0.119480519,1,0.354999841,0.865059811,0.858840793,1,0.713938317,0.718360228,0.69235431,0.652630025,0.874094073,0.791529447
BB.B,93.75,0,241.05,183.45,389.9286988,0.823125,17.06125,73.30875,0.5294,4.11825,0.141452708,5.328051416,4.71071193,0.617339486,4.918026977,2.076824102,2.841202875,1200.10066,466.1102852,733.9903743,32.69299494,1.278753601,0.547922612,0.452077388,2.075897902,-1,2.366566108,2.243225366,2.501715498,-0.087109188,1.220926818,1.856865634,-0.887172773,0.573257663,0.520412676,-0.518774813,0.425600166,0.091240938,-0.114413001,2.91722593,2.769106576,2.433918808,2.17477873,1.475327431,0.307456608,-0.823908741,0.85,0.55,0.15,18,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,-0.23470407,14.5,1.161368002,10.76099968,12.43100023,14.57499981,3.81400001,33.46650124,35.05600166,0.541500002,82.90740741,4.759000063,2.181513251,8.21449995,0.78945002,-0.10267536,8.312499762,0.919731646,5,-1063,627,BB.B,0.538642305,1.798190945,-0.659987381,-1.438204446,-0.679111584,-0.647125241,-0.799236227,-0.603921809,0.319689186,1.262817045,-0.571304206,-1.587883591,1.039721254,0.643105292,0.063941243,0.999739921,0.279485877,0.758243318,0.359668835,-0.029681707,-0.423870583,0.136412378,-0.226022689,0.209785289,0.300569244,0.317203105,0.522098732,0.864793014,0.395177779,0,0.53302057,0.612431963,0.568530746,0.853663957,0.651847582,0.699443576,0.703961279,0.590441165,0.550597612,0.695192676,0.618010179
JN.B,94.25,3.25,208.375,83.65,192.5770308,0.9575,70.026,247.431,1.39737415,9.16675,0.166186837,8.345941774,2.020976549,6.324965225,8.329976418,5.000868823,3.329107595,1577.51313,942.1763186,635.3368119,33.8184672,1.255272505,0.568693221,0.431306779,2.361092579,-0.570529155,2.255168502,1.878319522,2.273168467,-0.019239308,1.844188461,2.3877464,-0.810080399,0.857912591,0.211685463,0.700324843,0.832991358,0.556672332,0.409008286,3.109948549,3.085009404,2.808384483,2.659967818,1.441289697,0.370112332,#NAME?,0.55,1,0,17,Pacific,West Pacific,43.052222,144.842699,16,30,0.421603927,15,1.176091259,0.374666671,8.511666616,21.20933342,20.83466657,32.57100042,27.34366608,0.674999992,91.56481481,6.586666584,2.566450191,8.152333577,0.703433335,-0.152777055,5.186333259,0.71486042,5,-600,-693,JN.B,-1.938359093,-0.200235757,-0.508583023,-3.712570605,0.019689475,-0.164595974,-2.063142644,0.017509499,-1.150434036,-0.140619731,-0.440244206,-0.92056027,-1.203034662,2.590939679,-0.511540222,0.667577482,-0.632521393,0.713070538,0.478278369,0.34771774,0.098076842,0.360077864,0.113096657,0.34283742,0,0.43780391,0.106793518,0.532718111,0.423279704,0.240519481,0.056658246,1,0.436249461,0.778260748,0.487632122,0.689825667,0.729647263,0.657799365,0.643073124,0.741119648,0.686374744
SF.A,62,0,148.2631579,113.8947368,48.35,0.958333333,23.2975,117.4633333,0.77178,2.402725,0.334133372,4.888291585,3.75869737,1.129594215,55.00937259,15.09892435,39.91044823,7971.062345,2298.284467,5672.777878,53.38950367,0.77815125,0.389440381,0.610559619,2.855732715,-1,2.148370571,1.992579219,1.615057014,-0.019440617,1.358487959,2.064934047,-0.732499494,0.588518711,0.23038495,-0.251472858,1.538010444,0.630347112,0.971972582,2.745678473,3.670376774,2.719147467,3.062819506,1.425862766,0.454927219,NA,0.6,0.4,NA,5,Pacific,East Pacific,37.946557,-122.418499,17.7,30,0.343900712,14.6,1.164352856,11.10000014,14.46125007,17.84749985,6.747500062,33.22599983,38.66674995,0.449500002,64.60294118,3.300999999,1.816865432,8.208499908,0.74817501,-0.125996802,6.856000066,0.836070813,250,-988,-704,SF.A,1.114507813,2.531725461,0.381382405,-2.79120094,0.839327745,-0.66711376,-1.551120853,0.746399181,0.661470687,1.777956937,0.330135664,-1.479785861,-1.221724295,1.406521176,-2.168664974,0.349130234,-0.346952728,0.692596868,0.597639526,1.047038237,1.001343538,-0.062678137,-0.20784167,0.204273676,0.121763764,0.579259097,0.618650938,0.9866831,0.588464793,0.038961039,0.05268856,0.764331733,0.055339553,0.705970984,0.539051437,0.68546654,0.755496018,0.782613987,0.803108496,0.654311874,0.621675371
NC.A,63,0,148.25,194.25,590.6402965,0.4435,9.9025,45.358,0.17785,0.805535,0.223153817,43.17574215,20.77175006,22.40399209,22.8718319,13.66058555,9.211246342,3643.613689,2025.645896,1617.967793,31.90631746,1.414973348,0.787171665,0.212828335,1.657610905,-1,2.114436541,2.200131238,2.738493156,-0.354152794,0.988563917,1.649109693,-0.69084368,1.29508573,1.005012693,-0.473981332,0.912407795,0.596375392,-0.621030545,3.405306872,3.022263709,2.69647899,1.481708988,1.419228445,0.213616026,NA,0.833333333,1,NA,25,Atlantic,West Atlantic,34.692458,-76.622589,22.6,34,-0.744727495,14.15,1.15075644,13.64949989,21.24549961,28.57875013,14.92925024,34.89050007,35.68824959,0.486749992,117.4615385,0.308749996,0.555652766,8.286499977,0.115625,-0.936948254,4.136500061,0.616633035,100,574,26,NC.A,2.371619882,-0.891209344,0.576473906,0.338727764,-0.472892488,-0.987393806,0.188237146,-0.420534848,1.407578318,-0.625870325,0.499012522,0.771529533,0.018587689,-0.119164112,0.660147425,0.247946639,0.171780948,0.683792206,0.661728572,0.272757378,0.199824758,0.702857882,0.633916267,0.11595998,0.53540002,0.352792904,0.829424011,0.417900296,0.62467542,0.85038961,0.316131361,0.460760312,0.705575854,0.683001597,0.6324543,0.683591906,0.76937509,0.64442045,0.661100209,0.811505332,0.791369069
LI.A,NA,NA,99.85,480.9,298.2054066,0.433,11.368,43.233,0.2788875,1.0321,0.279841049,1.274732427,1.177422852,0.097309574,0.880451674,0.818519051,0.061932623,87.43615686,83.12744143,4.308715431,26.9626142,0.954242509,0.90630061,0.09369939,1.758885308,NA,1.950781972,2.6272133,2.397751153,-0.365056637,1.047450475,1.63133398,-0.58453873,-0.035661783,-0.069132249,-1.602383574,-0.403140199,-0.453465195,-1.663753837,1.910784348,1.545968562,1.496615401,0.289525073,1.361109001,0.243819956,NA,NA,NA,NA,8,Atlantic,West Atlantic,40.85762,-72.45119,20.3,31.4,0.307496038,12.4,1.093421685,3.34119997,12.73459988,22.15019951,18.80900002,30.85060005,32.64939957,0.540800011,95.34722222,1.853999972,1.361616676,8.03579998,0.595499992,-0.22511824,5.148200083,0.711655417,50,648,-18,LI.A,0.068176259,-0.200533943,0.243527733,0.242662245,-0.544432476,-0.380596542,0.134851799,-0.484154083,0.04046324,-0.140829139,0.210804664,0.87818596,-0.056170841,-0.184384302,-0.197840996,-0.24003423,1.239184917,0.606659666,0.825282759,-1.490927288,-1.485648323,-1.03161993,-0.951449666,0.283277643,0.522704465,0.340446357,0.443218275,0.532668562,0.562877803,0.888831169,0.300252616,0.447783202,0.508356973,0.57222651,0.824650393,0.667169322,0.804794251,0.329638262,0.362478205,0.455351528,0.471768152
CR.A,97.4,0,80.325,43.5,332.6330533,0.529458333,9.688416667,47.26179167,0.433685,1.286395,0.309004068,0,0,0,0,0,0,0,0,0,26.090026,0.602059991,NA,NA,1.528303111,-1,1.888814932,1.627870058,2.512415635,-0.277144979,0.982278701,1.671487222,-0.578197428,-2,-2,-2,-2,-2,-2,0,0,0,0,1.305535455,0.18312186,-0.397940009,0.85,0.842105263,0.4,3,Atlantic,East Atlantic,44.21154996,15.4906946,17,25,0.130936537,14.85,1.171726454,8.196000099,15.77700043,24.83699989,16.64100075,38.43399811,33.14300156,0.656000018,84.82083333,0.606000006,0.778460022,8.246999741,0.0348,-1.458420756,0.612999976,-0.212539542,250,372,-159,CR.A,1.195468067,-3.276656664,-0.592562433,0.012121863,0.979107307,-0.050490776,0.006736338,0.870702651,0.709521346,-2.301100391,-0.512939217,0.480386313,-0.295737951,-0.037059572,0.090884188,-0.424805914,-1.258468428,0.532905886,0.835039091,-3.337848652,-3.531536592,-3.249193102,-3.291634308,0.374300672,0.492237362,0.603382597,0.632225098,0.021514887,0.407692418,0.745454545,0.249368459,0.477096965,0.574723903,0.530282039,0.374924489,0.651466123,0.806907074,0,0,0,0
ES.A,98.75,0,182.3,180.45,725.7448434,0.4,9.133,46.9555,0.12602,1.161195,0.110502695,6.935815252,6.408233542,0.52758171,12.72896076,9.554332278,3.174628477,2226.721126,1663.628071,563.0930549,19.91868596,1.079181246,0.834401082,0.165598918,1.841279663,-1,2.236476516,2.243162822,2.841915319,-0.399703231,0.956315716,1.65685019,-0.971842573,0.773260559,0.733295814,-0.798507247,0.85252002,0.747516638,-0.646508625,3.00674462,3.085766695,2.980668288,1.502531897,1.260229185,0.262718912,-0.602059991,NA,1,0.25,11,Atlantic,West Atlantic,37.265686,-75.812668,28.05,35.42,0.698481148,14.683,1.166814799,5.654800034,16.02020016,26.59400024,20.93919983,26.42399979,34.28500061,0.503400004,88.38461538,0.646999991,0.804363096,8.281800079,0.249199998,-0.603451965,4.743600035,0.676108064,25,698,88,ES.A,1.123721395,-0.648737307,0.633216405,0.490204788,-0.853621094,-0.734127515,0.272415668,-0.759110001,0.666939033,-0.455589286,0.548130474,0.950251113,0.123929255,-0.090763748,0.920564448,0.611842213,0.279329562,0.472778201,0.229401146,0.348622453,0.123096859,0.240303874,0.012247738,0.185795371,0.555418491,0.287085825,0.620195728,0.458191431,0.635207307,0.914805195,0.338505955,0.466411241,0.765435816,0.76560845,0.651819436,0.638664108,0.675750615,0.657960838,0.64750602,0.716525524,0.666044166
SF.B,58.75,0.25,206.6,82.525,34.55,0.916666667,27.57333333,126.85,0.245735,2.688585,0.093322348,14.74196055,14.72057749,0.021383056,308.2405977,307.2599537,0.980644058,62222.44906,62118.99111,103.4579481,19.00759837,0.903089987,0.995012408,0.004987592,2.902931869,-0.914621491,2.28692159,1.899089914,1.51944492,-0.039225441,1.432774631,2.097904367,-1.06466338,1.097998044,1.096939787,-1.917943102,2.405395363,2.403113598,-1.835361861,3.382330365,4.689894168,4.687612396,0.165800185,1.21741225,0.461997295,NA,1,0.95,NA,7,Pacific,East Pacific,37.978118,-122.405941,17.5,27,0.786307676,14.6,1.164352856,10.84800029,14.61775017,18.38699961,7.539000034,33.23974991,38.25500011,0.447750002,61.72619048,3.301749945,1.817071805,8.208250046,0.749625012,-0.125155931,8.537750006,0.931343434,250,-1000,-686,SF.B,0.855171287,2.528640216,0.727111019,-3.120121735,0.833479063,-0.664007413,-1.733908089,0.741198053,0.507552062,1.77579026,0.629408373,-1.497081497,-1.19114126,1.52749132,-2.409416242,0.762258003,-0.58061006,0.415954207,0.086592824,2.26502449,2.112632476,0.676192348,0.399118833,0.205130216,0.07829518,0.578249717,0.575169407,0.986170431,0.652634939,0.032727273,0.05918441,0.788401624,0,0.799753892,0.496979244,0.626565494,0.644824161,1,1,0.806029891,0.744035217
KO.A,38.75,0,119.725,39.325,78.82165606,1.0745,26.405,118.137,0.624,6.0915,0.10317407,8.640187097,0.506044462,6.364202424,38.58920976,0.318193185,36.66885675,4344.322256,34.31390401,4121.615269,12.48201371,1.079181246,0.008082613,0.943886446,2.503896284,-1,2.063964804,1.568343624,1.8788764,0.030142408,1.410267417,2.070695832,-0.997502819,0.901812311,-0.915454345,0.76024591,1.544062306,-1.16267765,1.518306238,2.961775584,3.604087358,0.888244208,3.578329635,1.062192121,0.396516998,-1.301029996,NA,1,0.05,11,Pacific,West Pacific,34.89466111,128.0202722,23.8,31.3,0.167686476,14.14,1.150449409,8.558399963,17.66940002,27.50720024,18.94880028,32.77419891,34.3526001,0.551199996,131.265625,1.446199989,1.202580554,8.051200104,0.343919992,-0.463542578,6.737200069,0.828479444,50,-515,-203,KO.A,0.603057879,0.325174164,0.83463107,-2.80472733,1.366923449,-0.967492254,-1.558637713,1.215580623,0.357920425,0.22836033,0.722480845,-0.798049509,-0.370496481,1.427661523,-1.504367714,0.097451347,-1.407242535,0.209955631,0.189921886,0.967844299,1.009097152,0.188114767,0.165395925,0.121447614,0.119976181,0.67031286,0.532898937,0.620024515,0.672591567,0.284675325,0.233489715,0.768538108,0.208036209,0.648838108,0.348136316,0.58270555,0.667201018,0.768479464,0.804482235,0.70580913,0.696917985
CR.B,70.75,0,39.5,39.15789474,447.2243443,0.4685,5.183916667,27.60055,0.16621,0.61026,0.294211101,0.739226149,0.033108198,0.706117951,8.788578074,1.196089922,7.592488152,362.3371634,61.69305913,300.6441043,13.13032907,0.602059991,0.083333333,0.916666667,1.496188617,-1,1.59222225,1.584861677,2.639654778,-0.330231581,0.712285753,1.438297785,-0.601444956,-0.802937653,-1.908626239,-0.894311414,-0.179714959,-1.831051233,-0.348663726,0.982910633,1.633109142,0.161545277,1.471563866,1.00527303,0.167780187,-0.823908741,0.9,0.8,0.15,3,Atlantic,East Atlantic,44.20557132,15.47773378,19,20,0.210853365,15.383,1.18704104,8.196000099,15.77700043,24.83699989,16.64100075,38.43399811,33.14300156,0.656000018,84.74583333,0.606000006,0.778460022,8.246999741,0.0348,-1.458420756,0.612999976,-0.212539542,250,402,-143,CR.B,0.981814256,-3.406133248,-0.30219908,1.310138453,1.433506717,-0.051079215,0.728067638,1.274791935,0.582715835,-2.392028019,-0.261592282,0.523625405,-0.26855303,-0.892646048,0.411272374,-1.309178138,-1.365959052,0.134416127,0.79927189,-1.386823102,-1.199397096,-2.108469789,-1.865532176,0.374138417,0.663776963,0.681803964,0.596402938,0,0.461586305,0.761038961,0.255142548,0.306857661,0.648368953,0.329523328,0.355569794,0.566622146,0.799161358,0.348218762,0.413194479,0.23423358,0.287494224
LI.B,NA,NA,103.175,257.925,323.083779,0.447,12.593,48.045,0.10445,1.198175,0.087383663,10.44141778,10.14265381,0.298763966,3.510746066,3.127820235,0.382925831,374.4190328,328.3435771,46.07545571,9.283127155,1.041392685,0.894904351,0.105095649,1.509795156,NA,1.972212225,2.382546947,2.495045733,-0.35109157,1.093178149,1.675144203,-1.083087084,0.539269374,0.505788118,-1.096927782,0.215496245,0.128449025,-1.181587079,2.534427596,2.210800001,2.123568211,0.826410962,0.886398623,0.168983594,NA,NA,NA,NA,10,Atlantic,West Atlantic,40.83158,-72.54082,18.8,30,0.241795431,11.8,1.071882007,2.996333341,12.67449999,22.82066663,19.82433319,30.71199989,32.79133352,0.542333345,94.85714286,1.860666653,1.364062555,8.02699995,0.600899984,-0.221197808,6.326999982,0.801197833,50,618,-49,LI.B,-0.006169482,-0.453509483,0.544185566,0.075270009,-0.322133262,-0.383159491,0.041828905,-0.286467359,-0.003661645,-0.318486481,0.471062798,0.834946868,-0.108841624,-0.023641883,0.047146771,-0.176134068,0.627691578,-0.02334665,0.058247258,-0.696673499,-0.693054608,-0.307846713,-0.266514123,0.282570938,0.500582716,0.378811302,0.430753133,0.49063208,0.618682432,0.873246753,0.289065319,0.479766734,0.564670336,0.586732296,0.714545283,0.53303227,0.638685668,0.471396565,0.502905202,0.603969506,0.609847332
IR.B,65.55,24.85,46.75,83.5,334.224599,0.308,8.087,35.9191,0.115435,0.622725,0.205392896,0.390822634,0.299905691,0.090916943,1.890621879,0.370991904,1.519629975,92.96281326,25.05787414,67.90493912,9.551254589,0.84509804,0.780480316,0.219519684,2.370700407,0.969486902,1.620747143,1.815949824,2.45384431,-0.515390988,0.880451719,1.54005644,-0.72906212,-0.778378773,-0.912281548,-1.662961279,-0.879288412,-1.10666725,-1.645284802,0.95878766,0.885590327,0.698836579,0.276170191,0.883947568,0.370741204,-0.954242509,1,0.105263158,0.111111111,6,Atlantic,East Atlantic,55.2225,-7.701944,16.3,40,-1.083546051,17.18,1.235023159,6.752666632,10.91699998,15.70433346,8.951666594,35.02333323,28.16849995,0.809999992,95.96212121,4.266333342,2.065510431,8.186500231,0.382250006,-0.417652499,1.896499991,0.277952845,NA,698,108,IR.B,-0.874126311,-0.131482584,-2.789081267,1.196170851,1.113465062,1.033246255,0.66473378,0.990184603,-0.518802044,-0.092336383,-2.414309584,0.950251113,0.157910405,-0.519287244,-0.056598419,-1.224123366,-0.788401652,-0.026599539,0.602928057,-2.279860971,-2.095686876,-2.136465863,-1.836274325,0.673129223,0.648715556,0.626570389,0.285227581,0.5441427,0,0.914805195,0.345723565,0.381146286,0.540823266,0.348831359,0.459564419,0.532339685,0.756641298,0.188829491,0.254395235,0.228484929,0.293392443
FI.A,84,74.5,30.775,88.65,206.9009422,0.3425,6.390375,25.22625,0.27575,0.573215,0.523106833,183.6584289,1.097685548,182.3909278,52.07104015,4.149973399,47.92106675,1719.811847,141.001194,1578.810653,14.42721578,0.954242509,0.107359882,0.892640118,2.459293604,1.847687514,1.427201184,1.821839058,2.279905611,-0.46626372,0.800882836,1.400534985,-0.560239147,2.06440572,-0.219778168,2.05685437,1.604039545,0.256668908,1.55195386,3.469872946,3.009995997,1.723007385,2.958152879,0.855750984,0.388762176,#NAME?,0.6,0.052631579,0,8,Atlantic,East Atlantic,59.92025,21.79618333,14,6.5,0.355068206,19,1.278753601,0.853666663,8.203666846,18.91733329,18.06366698,6.239333312,36.73499934,0.747166663,51.51190476,1.676833332,1.294925995,8.255833467,0.190100004,-0.721017874,12.84300009,1.108666486,1,563,71,FI.A,-2.191960679,-0.372240263,2.244450244,1.467498931,1.653073055,1.49561559,0.815515702,1.47004836,-1.300948921,-0.261413478,1.942861185,0.755675199,0.095045277,-1.031200097,-0.494576091,-1.801233592,-0.773682722,-0.064020305,0.862668586,0.258101518,1.085939671,0.777790457,1.550434009,0.800622474,0.684572964,0.719697262,0.064273534,0.504136437,0.934265894,0.844675325,0.332370985,0.279289033,0.440148869,0.217823281,0.462214701,0.524372287,0.812890495,0.641804674,0.818096731,0.82689182,0.976133926
KO.B,72.75,0,190.825,110.175,160.8280255,0.932,16.68,77.973,0.2175,5.5505,0.040980465,3.252618627,0.624443669,0.509343375,4.075064524,1.054260481,0.734560243,761.0965066,227.8032086,128.0758431,8.132667748,1.176091259,0.22877991,0.223699476,1.092617166,-1,2.256808599,2.035971661,2.186143321,-0.031573172,1.211524855,1.885760691,-1.402680111,0.399232668,-0.671149482,-0.847950074,0.387902245,-0.729566259,-0.907259798,2.652482326,2.640283536,1.449858603,1.264136726,0.847093235,0.036830186,#NAME?,1,0.947368421,0,14,Pacific,West Pacific,34.80097222,128.5836944,23.3,33.6,0.205813141,14.25,1.153814864,10.73950028,18.13600016,27.85050011,17.11100006,32.90575027,34.45699978,0.525749996,139.6990741,1.297499955,1.139078555,8.107999802,0.309650004,-0.50912891,5.042750001,0.702667438,100,-361,-195,KO.B,1.502882522,-1.029607822,0.428643062,-1.821022193,0.129924637,-0.976713449,-1.011974974,0.115539661,0.891974666,-0.723063539,0.371045858,-0.576088837,-0.356904021,0.749123045,-0.730669555,0.672467881,-0.238502224,-0.075510335,-0.433458704,-0.183582654,-0.472168958,-0.17083753,-0.433344736,0.118904971,0.2499779,0.456828565,0.683767591,0.394902875,0.597236769,0.364675325,0.236376759,0.633526719,0.385879967,0.779370903,0.558578968,0.5219259,0.532202225,0.562972946,0.542040396,0.632102666,0.576215212
OR.B,85,62.8,315.725,162.15,216.4502165,0.816909722,29.22165278,106.328,0.12474,6.3495,0.01838567,6.607765493,1.285142777,4.831663449,8.196546564,4.825705213,2.683255582,2631.364957,1546.403855,896.5185226,5.160168213,1.079181246,0.56225729,0.327222101,2.493228829,1.738220841,2.465643789,2.176478398,2.317191282,-0.088673433,1.463290426,2.023029781,-1.763773834,0.790150339,0.014849896,0.646064619,0.868217942,0.568581322,0.32869235,3.253680163,3.331825037,3.031637462,2.791230026,0.680249516,0.395065137,#NAME?,0.944444444,0.555555556,0,11,Pacific,East Pacific,43.34625,-124.3182833,16,33,-0.224571608,14.22,1.152899596,9.311999957,11.22499975,14.33799998,5.026000023,32.49766668,32.39466604,0.646333337,135.7666667,3.799000025,1.949102364,8.199666659,0.646400015,-0.189498642,3.767000039,0.575995625,25,-904,-451,OR.B,-0.262749252,1.310668933,-1.520303435,-2.353133318,-0.646035819,-0.135656688,-1.307678751,-0.574508122,-0.155944109,0.920444558,-1.316018718,-1.358716403,-0.791862744,1.252771831,-0.400690766,1.295167132,0.11266553,-0.296935023,-0.989015054,0.64258083,0.143208953,0.526886521,0.032369122,0.35081711,0.179656664,0.322911402,0.387733813,0.783782375,0.235495864,0.082597403,0.143991339,0.733739639,0.461729531,0.92072801,0.621810014,0.474781524,0.411891395,0.710426487,0.65106936,0.775371766,0.670100524
UK.A,56.4,0,52.29411765,331.4117647,737.1369601,0.3631,4.2592,23.0931,0.040455,0.321375,0.124868854,54.68168414,0.848000823,53.76684108,26.42784839,2.306163045,23.6571251,951.5039247,81.94519748,854.1120991,6.591053534,1.322219295,0.033250589,0.96271497,1.943005556,-1,1.666300699,2.493733931,2.793464388,-0.442294914,0.622041369,1.35575241,-0.988205113,1.644122161,-0.907377711,1.637098259,1.256984014,-1.069051723,1.237785429,3.310419079,2.883366389,0.860737655,2.860788613,0.663735654,0.286733086,#NAME?,0.5,1,0,20,Atlantic,East Atlantic,52.942282,-4.565173,17.5,34.4,0.497102502,18.5,1.267171728,7.638199997,11.68279991,16.38339996,8.745200157,34.28199921,30.44760017,0.735199976,79.02380952,8.952200317,2.99202278,8.207800293,0.628439999,-0.201736181,3.31239996,0.520142771,25,637,130,UK.A,-0.616817283,0.162449223,-1.77854916,2.087029088,-0.178935455,0.808819056,1.159799817,-0.159124106,-0.366086758,0.114083351,-1.539563702,0.862331626,0.19528967,-1.195510138,0.798564997,-1.088292976,0.905580626,-0.318851201,0.204226759,0.106820997,0.641293974,0.592735238,1.049735544,0.611245894,0.766447076,0.403524731,0.328369172,0.59298481,0.18756328,0.883116883,0.353662938,0.246595638,0.737392786,0.379665812,0.764581812,0.470115267,0.67029887,0.614804148,0.739317075,0.788892994,0.875195912
